lntensity 	delta_v	error_v
90	8	2
88	10	2
86	12	3
84	12	3
82	13	2
80	15	4
78	10	2
76	11	2
74	10	3
72	14	4
70	13	4
68	16	3
66	23	4
64	25	4
62	30	4
60	32	5
59	37	4
58	39	4
57	41	5
56	42	5
55	43	5
54	48	5
53	48	6
52	52	8
51	56	6
50	57	6
49	60	8
48	64	5
47	65	5
46	67	6
45	66	5
44	68	5
43	67	8
42	68	6
41	69	6
40	74	8
39	84	5
38	85	5
37	86	6
36	90	7
35	97	6
34	98	7
33	102	6
32	103	7
31	108	8
30	108	8
29	104	8
28	98	9
27	104	9
26	105	9
25	106	9
24	107	9
23	108	9
22	116	10
21	122	7
20	124	7
19	126	5
18	131	5
17	134	5
