Julian date       V [mag] 

2449049.0327   23.37 +- 0.08   
2449049.0938   23.49 +- 0.10   
2449057.4598   23.82 +- 0.20   
2449064.0828   23.83 +- 0.13   
2449064.1136   23.94 +- 0.26   
2449069.2661   23.69 +- 0.20   
2449069.3293   23.60 +- 0.13   
2449131.6589   23.23 +- 0.17   
2449131.7228   23.32 +- 0.12   
2449141.6263   23.58 +- 0.11   
2449141.6936   23.60 +- 0.10   
2449146.1096   23.74 +- 0.10   
2449146.1770   23.74 +- 0.11   
2449156.8860   23.90 +- 0.13   
2449156.9499   23.85 +- 0.14   
2449160.7658   23.60 +- 0.13   
2449160.8304   23.64 +- 0.10   
2449163.2450   23.48 +- 0.10   
2449163.3054   23.47 +- 0.11   
2449295.2633   23.77 +- 0.15   
2449295.3195   23.88 +- 0.17   
2449307.7036   23.10 +- 0.12   
2449307.7661   23.18 +- 0.11   
2449429.6016   23.58 +- 0.16   
