AF507042.fits; 2018-09-17T17:59:51.0; 58378.749895; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507043.fits; 2018-09-17T17:59:56.8; 58378.749963; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507044.fits; 2018-09-17T18:00:02.6; 58378.75003; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507045.fits; 2018-09-17T18:00:08.6; 58378.7501; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507046.fits; 2018-09-17T18:00:14.5; 58378.750168; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507047.fits; 2018-09-17T18:00:20.3; 58378.750235; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507048.fits; 2018-09-17T18:00:26.5; 58378.750307; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507049.fits; 2018-09-17T18:00:32.4; 58378.750375; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507050.fits; 2018-09-17T18:00:38.3; 58378.750443; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507051.fits; 2018-09-17T18:00:44.2; 58378.750511; 0.0; bias; 1.82m Reflector; NO; 1.431
AF507052.fits; 2018-09-17T18:17:21.3; 58378.762053; 30.0; test; 1.82m Reflector; Ne; 1.431
AF507053.fits; 2018-09-17T18:17:57.9; 58378.762476; 30.0; test; 1.82m Reflector; Ne; 1.431
AF507054.fits; 2018-09-17T18:18:34.9; 58378.762904; 30.0; test; 1.82m Reflector; Ne; 1.431
AF507055.fits; 2018-09-17T18:23:27.4; 58378.766289; 60.0; ArcHgCd; 1.82m Reflector; HgCd; 1.431
AF507056.fits; 2018-09-17T18:24:34.0; 58378.76706; 60.0; ArcHgCd; 1.82m Reflector; HgCd; 1.431
AF507057.fits; 2018-09-17T18:25:40.6; 58378.767831; 60.0; ArcHgCd; 1.82m Reflector; HgCd; 1.431
AF507058.fits; 2018-09-17T18:38:04.4; 58378.776439; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507059.fits; 2018-09-17T18:38:19.0; 58378.776609; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507060.fits; 2018-09-17T18:38:33.6; 58378.776778; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507061.fits; 2018-09-17T18:38:48.3; 58378.776948; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507062.fits; 2018-09-17T18:39:03.0; 58378.777118; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507063.fits; 2018-09-17T18:39:17.6; 58378.777287; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507064.fits; 2018-09-17T18:39:32.3; 58378.777457; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507065.fits; 2018-09-17T18:39:46.9; 58378.777627; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507066.fits; 2018-09-17T18:40:01.6; 58378.777797; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507067.fits; 2018-09-17T18:40:16.3; 58378.777966; 8.0; flat; 1.82m Reflector; NO; 1.434
AF507068.fits; 2018-09-17T19:39:28.6; 58378.819081; 300.0; BD+28; 1.82m Reflector; NO; 1.111
AF507069.fits; 2018-09-17T20:06:07.4; 58378.837586; 300.0; TYC 3596-374-1; 1.82m Reflector; NO; 1.004
AF507070.fits; 2018-09-17T20:12:30.4; 58378.842018; 300.0; TYC 3596-374-1; 1.82m Reflector; NO; 1.003
AF507071.fits; 2018-09-17T20:17:55.9; 58378.845786; 600.0; TYC 3596-374-1; 1.82m Reflector; NO; 1.002
AF507072.fits; 2018-09-17T20:46:15.8; 58378.86546; 600.0; RXJ2124.9+2826; 1.82m Reflector; NO; 1.048
AF507073.fits; 2018-09-17T20:59:13.2; 58378.874458; 600.0; RXJ2124.9+2826; 1.82m Reflector; NO; 1.048
AF507074.fits; 2018-09-17T21:09:20.9; 58378.881492; 600.0; RXJ2124.9+2826; 1.82m Reflector; NO; 1.049
AF507075.fits; 2018-09-17T21:37:01.5; 58378.900712; 600.0; 2ZW-171; 1.82m Reflector; NO; 1.123
AF507076.fits; 2018-09-17T21:49:52.7; 58378.909638; 600.0; 2ZW-171; 1.82m Reflector; NO; 1.123
AF507077.fits; 2018-09-17T22:00:00.5; 58378.916672; 600.0; 2ZW-171; 1.82m Reflector; NO; 1.126
AF507078.fits; 2018-09-17T22:23:33.0; 58378.933021; 600.0; IRAS_22270+5144; 1.82m Reflector; NO; 1.009
AF507079.fits; 2018-09-17T22:35:12.1; 58378.941112; 300.0; IRAS_22270+5144; 1.82m Reflector; NO; 1.012
AF507080.fits; 2018-09-17T22:56:09.4; 58378.955664; 600.0; IC10; 1.82m Reflector; NO; 1.038
AF507081.fits; 2018-09-17T23:09:35.6; 58378.964996; 600.0; IC10; 1.82m Reflector; NO; 1.034
AF507082.fits; 2018-09-17T23:19:43.5; 58378.972031; 600.0; IC10; 1.82m Reflector; NO; 1.031
AF507083.fits; 2018-09-17T23:36:57.6; 58378.984; 3.0; M74_aquisition; 1.82m Reflector; NO; 1.221
AF507084.fits; 2018-09-17T23:38:06.0; 58378.984791; 3.0; M74_aquisition; 1.82m Reflector; NO; 1.219
AF507085.fits; 2018-09-17T23:38:55.2; 58378.985361; 3.0; M74_aquisition; 1.82m Reflector; NO; 1.218
AF507086.fits; 2018-09-17T23:39:55.9; 58378.986064; 3.0; M74_aquisition; 1.82m Reflector; NO; 1.216
AF507087.fits; 2018-09-17T23:41:12.1; 58378.986946; 3.0; M74_slit; 1.82m Reflector; NO; 1.214
AF507088.fits; 2018-09-17T23:42:41.3; 58378.987978; 600.0; M74_spectrum; 1.82m Reflector; NO; 1.212
AF507089.fits; 2018-09-18T00:36:49.1; 58379.025568; 3.0; M74_slit; 1.82m Reflector; NO; 1.16
AF507090.fits; 2018-09-18T00:38:14.9; 58379.026561; 3.0; M74_slit; 1.82m Reflector; NO; 1.159
AF507091.fits; 2018-09-18T00:39:41.8; 58379.027567; 3.0; M74_slit; 1.82m Reflector; NO; 1.159
AF507092.fits; 2018-09-18T00:41:28.2; 58379.028798; 600.0; M74_spectrum; 1.82m Reflector; NO; 1.158
AF507093.fits; 2018-09-18T00:51:44.1; 58379.035927; 3.0; M74_slit; 1.82m Reflector; NO; 1.155
AF507094.fits; 2018-09-18T00:52:02.9; 58379.036145; 600.0; M74_spectrum; 1.82m Reflector; NO; 1.155
AF507095.fits; 2018-09-18T01:02:19.9; 58379.043286; 3.0; M74_slit; 1.82m Reflector; NO; 1.154
AF507096.fits; 2018-09-18T01:03:15.9; 58379.043935; 600.0; M74_spectrum; 1.82m Reflector; NO; 1.154
AF507097.fits; 2018-09-18T01:20:13.7; 58379.055714; 3.0; 3C48_slit; 1.82m Reflector; NO; 1.026
AF507098.fits; 2018-09-18T01:21:54.0; 58379.056875; 3.0; 3C48_slit; 1.82m Reflector; NO; 1.026
AF507099.fits; 2018-09-18T01:23:51.2; 58379.058232; 3.0; 3C48_slit; 1.82m Reflector; NO; 1.027
AF507100.fits; 2018-09-18T01:25:37.0; 58379.059456; 3.0; 3C48_slit; 1.82m Reflector; NO; 1.027
AF507101.fits; 2018-09-18T01:26:47.9; 58379.060277; 600.0; 3C 48; 1.82m Reflector; NO; 1.027
AF507102.fits; 2018-09-18T01:36:54.7; 58379.067299; 600.0; 3C 48; 1.82m Reflector; NO; 1.031
AF507103.fits; 2018-09-18T01:47:11.0; 58379.074432; 600.0; 3C 48; 1.82m Reflector; NO; 1.035
AF507104.fits; 2018-09-18T02:04:25.8; 58379.08641; 3.0; 3C66A; 1.82m Reflector; NO; 1.002
AF507105.fits; 2018-09-18T02:08:35.9; 58379.089304; 3.0; 3C66A-2; 1.82m Reflector; NO; 1.003
AF507106.fits; 2018-09-18T02:11:21.4; 58379.09122; 3.0; 3C66A-2; 1.82m Reflector; NO; 1.003
AF507107.fits; 2018-09-18T02:15:06.0; 58379.093819; 3.0; 3C66Aslitimage; 1.82m Reflector; NO; 1.004
AF507108.fits; 2018-09-18T02:17:39.8; 58379.0956; 600.0; 3C66A-spectrum; 1.82m Reflector; NO; 1.005
AF507109.fits; 2018-09-18T02:28:37.9; 58379.103216; 600.0; 3C66A-spectrum; 1.82m Reflector; NO; 1.008
AF507110.fits; 2018-09-18T02:38:45.9; 58379.110254; 600.0; 3C66A-spectrum; 1.82m Reflector; NO; 1.013
