ID;RA;Dec;class
1;184.93689;12.81077;E0
2;185.3186;11.51378;Sa
3;185.65578;11.80447;S0
4;185.82175;11.36756;Sa
5;185.6661;9.33683;S0
6;185.50649;9.04034;Sa
7;186.05269;8.52671;Sa
8;186.004;12.19912;SBc
9;186.26642;12.88713;E0
10;186.38554;12.24746;S0
11;186.23097;11.70423;E3
12;186.33798;10.00714;Sb
13;186.43233;12.66298;Sa
14;186.52416;13.1134;Sa
15;186.41175;12.80478;E3
16;186.54066;12.94347;E0
17;186.63435;12.61065;SBb
18;186.72041;9.57815;E7
19;186.79224;9.43637;Irr
20;186.62193;8.87405;SBb
21;187.56812;13.57062;E7
22;187.06806;9.43048;Sa
23;187.00269;9.80266;E0
24;186.86821;11.10574;E3
25;186.91863;13.07901;E3
26;186.9379;12.99276;E3
27;186.80082;12.72554;E7
28;186.97133;12.29731;SBc
29;187.18045;11.75504;S0
30;187.24842;13.24744;E0
31;187.26253;13.18381;E3
32;187.24649;13.97162;E3
33;187.47004;14.05589;S0
34;187.50912;13.63656;SBc
35;187.45045;13.42233;E3
36;187.4938;12.34689;E7
37;187.56683;12.31592;E0
38;187.70416;12.38714;E0
39;187.73961;11.4685;SBa
40;187.53063;10.7767;S0
41;187.36474;8.73937;Sa
42;187.70745;8.35135;E7
43;187.66335;8.99338;S0
44;188.16849;14.05085;Irr
45;188.04481;13.40868;SBa
46;187.88364;11.6063;E7
47;188.01916;11.17156;Sa
48;188.5684;13.06241;Sa
49;188.58571;10.9211;art
50;188.41132;9.16767;E7
51;188.36808;8.65111;SBa
52;188.57183;8.20873;Sc
53;189.23593;14.21153;Sb
54;189.18005;13.2537;Irr
55;189.20937;13.15511;SBb
56;188.90894;12.54911;E0
57;188.87355;12.20973;E7
58;189.10599;11.44171;E7
59;189.43138;11.8182;SBc
60;189.37734;9.55507;E3
61;189.97538;10.17464;S0
62;190.29906;10.15499;S0
63;190.24496;11.90346;Sa
64;190.30112;11.88488;Sa
65;190.5012;11.65021;E3
66;190.71821;13.25736;Sb
67;190.97433;13.13728;Sc
68;190.8744;11.58683;Sc
69;190.91003;11.55866;S0
70;186.46051;10.45331;SBb
71;186.00354;11.22499;S0
72;185.51745;12.74474;Sc
73;185.51711;12.78749;S0
74;190.53451;12.59951;E7
75;188.66327;11.29214;art
76;188.05923;10.25144;E3
77;189.13837;11.25613;Sb
78;189.13837;11.25613;Sc
79;186.68631;8.88245;Sc
