lam      chi    loggf
3000.271 2.949 -4.877      
3000.451 1.485 -1.095      
3000.469 2.609 -2.844     
3000.882 2.279 -2.362      
3000.948 0.087 -0.585  
3001.495 3.038 -4.217         
3001.649 2.424 -2.680     
3001.655 3.017 -3.762         
3001.787 2.609 -2.288     
3001.926 3.018 -2.519     
3002.217 3.301 -3.222         
3002.439 2.453 -5.016     
3003.031 0.958 -1.295     
3003.337 2.949 -3.240      
3004.114 2.433 -1.382      
3004.482 2.223 -4.516         
3004.630 1.557 -2.233         
3005.022 2.833 -4.197        
3005.303 2.404 -1.224      
3005.783 2.832 -2.658        
3006.478 2.279 -3.822      
3006.605 2.559 -5.145     
3006.824 2.469 -6.140         
3007.145 1.485 -1.157     
3007.282 0.087 -1.732  
3007.466 2.279 -3.806      
3007.752 2.588 -3.234     
3008.138 0.110 -0.837  
3008.265 2.609 -4.709     
3009.093 2.404 -0.936      
3009.569 0.915 -0.758     
3010.152 3.018 -4.754     
3010.173 2.559 -2.462     
3011.467 2.559 -2.449     
3011.481 2.758 -0.334     
3011.885 2.484 -3.598     
3012.494 2.609 -3.434     
3013.515 2.198 -4.587        
3014.026 1.608 -5.296         
3014.073 2.588 -2.767     
3014.106 2.949 -2.674     
3014.173 0.958 -2.757     
3014.314 2.453 -3.632    
3015.919 2.433 -1.140 
3016.185 0.990 -1.441     
3016.342 2.588 -3.290     
3017.493 2.424 -3.198     
3017.506 2.588 -4.408     
3017.627 0.110 -1.554  
3018.135 2.404 -1.670  
3018.247 2.559 -5.065      
3018.707 2.851 -3.534        
3018.983 0.958 -1.007     
3019.287 2.453 -1.456      
3020.491 0.087 -0.862        
3020.639 0.000 -0.030     
3020.715 2.692 -2.533         
3020.955 2.559 -2.343     
3021.073 0.052 -0.360  
3021.977 2.559 -4.096       
3022.260 2.176 -3.508        
3022.713 2.609 -3.548     
3023.342 3.047 -3.853         
3023.576 2.176 -5.984         
3024.033 0.110 -1.476  
3025.280 0.915 -2.688     
3025.636 2.404  0.019    
3025.842 0.121 -0.844  
3026.056 2.176 -4.868         
3026.462 0.990 -1.122     
3027.588 2.559 -3.197     
3027.858 2.588 -2.452     
3028.909 2.176 -5.351        
3029.097 2.609 -3.462     
3029.234 1.557 -2.173     
3029.751 1.608 -4.028         
3030.148 2.433 -0.117      
3030.603 2.279 -2.829      
3030.761 2.990 -2.817      
3030.963 2.279 -4.133      
3031.215 2.453 -0.227     
3031.477 2.588 -2.398     
3031.637 1.011 -1.244     
3031.686 3.047 -2.104         
3031.830 2.223 -4.565        
3032.242 2.559 -1.727     
3032.564 2.609 -5.728     
3032.788 2.588 -5.183     
3033.098 2.424 -1.662     
3033.801 2.832 -3.317        
3034.443 2.559 -4.819      
3034.484 1.608 -2.296         
3035.241 3.071 -5.059         
3037.160 2.832 -6.716         
3037.389 0.110 -0.663        
3037.780 0.990 -2.624     
3038.502 2.198 -5.571        
3038.588 2.198 -6.019        
3039.317 2.433 -1.541      
3039.665 2.588 -3.341      
3040.215 2.176 -4.242        
3040.427 0.915 -1.428      
3040.948 2.588 -4.037     
3041.637 1.557 -1.276     
3041.739 0.958 -1.188     
3042.020 1.011 -1.487     
3042.338 2.198 -4.403         
3042.412 2.588 -2.830     
3042.665 0.990 -1.297     
3043.020 2.609 -4.047     
3044.879 2.990 -3.718     
3045.078 0.915 -2.169     
3045.223 2.198 -6.795        
3045.589 2.453 -1.565      
3045.749 2.279 -2.907      
3046.039 2.484 -2.422     
3046.675 2.609 -4.287     
3046.806 2.728 -1.788         
