        x1          y1        x2          y2       x3         y3        x4         y4       x5         y5
 0.7370421  0.50768026 2.0680320  1.02741742 8.258134  1.5552934 5.0763902  1.5988832 6.196814 -1.8510273
 9.9862200 -1.12294194 0.3674223  0.75132431 4.723582  0.4145978 0.9155857  1.1325733 8.494212 -2.2715941
 6.9177968  1.64108774 6.1735632 -0.05634341 2.336220  1.4536253 4.4952805  1.0285311 2.022420  0.7125291
 8.2198339  0.29179845 2.8412474  0.05562217 6.185071 -2.0996459 7.5518482  0.1463062 4.414770 -0.4347991
 4.1106180 -0.76872099 6.6552361  1.56461068 2.689930 -0.9505907 8.0088304  0.1551587 5.198799 -0.2627402
 7.5209267  0.36138383 9.4857645 -1.48101336 1.018042  1.5540351 6.4614092 -0.2657260 2.572161  2.1764997
 6.9315654 -0.03887275 4.1443224 -0.35717369 8.877992 -0.6904015 6.7014873  0.1531105 8.584810  1.5094306
 1.4875052  2.44841345 2.1084374  1.22260595 1.006239  2.1544751 0.6045251  1.0602527 1.651823  1.3986491
 6.2948748  0.15075043 2.9044718  1.87029201 4.539456  1.8316388 3.8192640  0.9040345 6.906290 -2.4381854
 3.8481447  0.65861679 4.7260613  0.46771463 3.786970 -0.8399189 8.3717059 -0.6990047 5.896013 -1.2291091
