#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-08-18T19:40:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
#
#RESOURCE=yCat_35870081
#Name: J/A+A/587/A81
#Title: T Tauri stars X-ray/accretion anti correlation (Bustamante+, 2016)
#Table J_A_A_587_A81_sphalpha:
#Name: J/A+A/587/A81/sphalpha
#Title: Stellar parameters of sources which mass accretion rates were derived using the equivalent width of the H{alpha} line (table 4a)
#Table J_A_A_587_A81_sp2cd:
#Name: J/A+A/587/A81/sp2cd
#Title: Stellar parameters of sources which mass accretion rates were derived using excesses in the U band (table 4b)
#---Details of Columns:
#   COUP              (I4)    Identification number from COUP catalog [ucd=meta.id;meta.main]
#   RAJ2000 (deg)     (F8.4)  Right ascension (J2000) from COUP catalog [ucd=pos.eq.ra;meta.main]
#   DEJ2000 (deg)     (F8.4)  Declination (J2000) from COUP catalog [ucd=pos.eq.dec;meta.main]
#   logLX ([10-7W]) (F8.5)  Logarithmic X-ray luminosity from COUP catalog [ucd=phys.luminosity;em.X-ray]
#   SpType            (A4)    MK spectral Type from Manara et al. (2012, Cat. J/ApJ/755/154) [ucd=src.spType]
#--- -------- -------- -------- -------- -- -------- -------- -------- --------
#                                                                           
#  Note: original observations have been slightly manipulated to emulate a more non-standard distribution!
#                                                                           
COUP  RAJ2000  DEJ2000   logLX  SpType
#       (deg)    (deg)  [10-7W] 
#--- -------- -------- ----------   -- 
   1  83.6227  -5.3937  29.7376   M5
   6  83.6593  -5.4065  29.6176   M3
  10  83.6668  -5.4345  28.3101   M6
  11  83.6704  -5.3784  30.2876   M1
  12  83.6702  -5.4443  29.5076   M1
  14  83.6734  -5.3994  28.6876   M5
  15  83.6739  -5.4480  29.7076   M3
  16  83.6744  -5.3638  28.5276   M7
  20  83.6852  -5.4350  28.7476   M5
  21  83.6855  -5.4106  28.9076   M4
  23  83.6883  -5.4178  32.4670   K2
  27  83.6914  -5.4155  30.1176   M0
  28  83.6934  -5.4088  31.4641   M0
  29  83.6942  -5.3905  29.7476   M2
  37  83.6998  -5.3945  27.6417   M5
  40  83.7007  -5.3774  28.8976   M3
  41  83.7033  -5.3188  29.1376   M4
  43  83.7035  -5.3883  30.2376   M1
  44  83.7046  -5.4408  27.4001   M3
  47  83.7055  -5.3154  29.3876   M3
  49  83.7067  -5.4843  29.2676   M1
  54  83.7103  -5.3390  29.5376   K5
  55  83.7106  -5.3932  29.1676   M1
  58  83.7115  -5.4502  28.7776   K8
  60  83.7121  -5.4902  29.1176   M4
  62  83.7149  -5.4203  30.3302   K2
  65  83.7168  -5.4052  29.4576   M3
  68  83.7183  -5.4170  27.6157   M5
  69  83.7182  -5.5022  29.2476   M4
  71  83.7192  -5.4011  30.1676   M1
  75  83.7199  -5.4653  30.1976   M0
  77  83.7207  -5.4829  28.5976   M3
  86  83.7249  -5.4636  28.0084   M5
  89  83.7262  -5.3599  29.5876   M0
  90  83.7259  -5.4817  31.3773   K8
  94  83.7277  -5.4717  28.3101   M3
  95  83.7287  -5.4201  28.2488   M3
  96  83.7295  -5.4248  29.5476   M3
 101  83.7318  -5.4937  30.7712   M4
 102  83.7327  -5.3293  28.2279   M5
 107  83.7333  -5.3870  33.2954   K2
 108  83.7333  -5.4906  30.3302   M0
 109  83.7334  -5.5202  29.4276   M3
 112  83.7356  -5.4641  30.2076   M2
 114  83.7365  -5.4437  28.8576   M5
 115  83.7369  -5.3601  30.1976   K7
 117  83.7373  -5.3684  29.5276   M3
 118  83.7376  -5.3834  28.8176   M4
 119  83.7395  -5.5115  29.2376   M2
 122  83.7408  -5.3809  30.0876   M3
 125  83.7414  -5.4961  28.7576   M3
 126  83.7419  -5.2938  30.0176   M1
 127  83.7419  -5.4946  28.0539   M7
 128  83.7429  -5.4259  28.7976   M6
 132  83.7455  -5.4676  29.8076   M3
 133  83.7467  -5.3855  28.7776   M4
 137  83.7482  -5.4001  29.1476   M4
 139  83.7485  -5.4278  30.0876   M1
 143  83.7511  -5.3142  29.5276   K7
 144  83.7510  -5.4026  29.1976   M5
 147  83.7520  -5.4207  29.6876   K6
 148  83.7535  -5.5183  26.3410   M5
 149  83.7545  -5.3844  28.3576   M4
 154  83.7551  -5.3624  28.9376   M6
 157  83.7556  -5.3059  28.6976   M4
 161  83.7562  -5.4724  29.6476   M2
 166  83.7568  -5.4028  28.5876   M5
 169  83.7576  -5.5054  28.9276   M4
 171  83.7584  -5.3094  26.6110   M3
 173  83.7587  -5.4434  30.5187   M1
 179  83.7605  -5.5527  29.4376   M2
 180  83.7615  -5.3291  28.3101   M1
 181  83.7613  -5.5402  28.5876   M5
 188  83.7625  -5.5004  31.5528   K1
 189  83.7632  -5.3083  29.4276   M1
 190  83.7635  -5.2981  27.6417   M6
 193  83.7644  -5.3925  28.2069   M3
 199  83.7655  -5.3794  28.6176   M6
 201  83.7666  -5.3166  28.5776   M4
 202  83.7664  -5.4843  30.0276   M1
 205  83.7670  -5.4436  30.2776   M1
 207  83.7674  -5.3377  28.3976   M4
 208  83.7674  -5.3734  27.8671   M4
 217  83.7688  -5.3990  29.7276   K2
 222  83.7695  -5.4934  29.8676   M3
 226  83.7699  -5.4439  30.1676   K8
 227  83.7704  -5.3493  29.5576   M3
 228  83.7701  -5.3774  28.3376   M4
 232  83.7714  -5.3402  27.2874   M2
 237  83.7728  -5.3751  28.6976   M6
 238  83.7726  -5.4042  29.0876   M1
 241  83.7726  -5.4547  29.1876   K5
 243  83.7730  -5.4644  28.5576   M1
 244  83.7735  -5.3069  29.1776   M5
 245  83.7735  -5.4221  32.0892   K0
 248  83.7742  -5.3877  25.1739   M6
 252  83.7738  -5.4184  29.8876   M2
 253  83.7740  -5.4406  29.9376   M3
 254  83.7741  -5.5655  29.9276   M4
 255  83.7744  -5.4505  29.2776   M3
 256  83.7746  -5.4525  29.2976   K8
 262  83.7762  -5.3674  31.0742   K5
 264  83.7770  -5.3552  28.4676   M5
 265  83.7769  -5.3688  27.0827   M5
 266  83.7768  -5.4513  29.1976   M5
 271  83.7773  -5.4171  28.8476   M4
 273  83.7774  -5.5475  28.7276   M3
 276  83.7787  -5.3692  29.1276   M1
 279  83.7789  -5.4335  27.2009   M3
 281  83.7799  -5.3085  27.7186   M5
 283  83.7803  -5.3741  29.9576   M4
 286  83.7808  -5.3747  29.0076   M5
 289  83.7809  -5.4300  27.8429   M6
 290  83.7811  -5.4445  29.8676   M5
 294  83.7822  -5.4147  28.8976   M4
 296  83.7829  -5.2848  28.8476   M3
 298  83.7827  -5.4882  29.5576   M3
 300  83.7832  -5.3548  29.1076   M3
 301  83.7835  -5.5455  29.8976   M0
 309  83.7846  -5.4097  29.2876   M5
 318  83.7856  -5.4217  28.4776   M2
 321  83.7859  -5.4387  29.1276   M4
 326  83.7872  -5.3259  26.6439   M3
 329  83.7882  -5.2811  26.6439   M7
 333  83.7895  -5.3496  28.4976   M6
 336  83.7903  -5.3569  28.5776   M3
 339  83.7902  -5.4398  28.8676   M1
 341  83.7900  -5.4730  28.9276   M1
 343  83.7907  -5.3908  31.7666   K8
 346  83.7911  -5.3261  29.7676   M3
 358  83.7923  -5.3757  28.7376   M2
 362  83.7925  -5.3391  28.6576   M3
 363  83.7928  -5.3658  27.7439   M5
 367  83.7930  -5.3323  28.3276   M4
 368  83.7930  -5.3536  29.0176   M0
 378  83.7937  -5.3794  30.0376   M0
 379  83.7937  -5.4334  29.1576   M5
 382  83.7941  -5.3656  29.9876   K3
 385  83.7940  -5.4046  29.6876   K8
 389  83.7942  -5.5537  29.1176   M2
 395  83.7948  -5.4412  29.0276   K2
 399  83.7952  -5.4325  28.9776   M6
 404  83.7956  -5.4135  29.7376   M3
 405  83.7954  -5.4669  29.4076   M4
 413  83.7964  -5.5832  29.9476   M4
 414  83.7968  -5.2891  30.0276   M1
 430  83.7979  -5.4340  32.3965   K2
 439  83.7991  -5.3654  28.4376   M5
 454  83.7999  -5.3425  31.2922   K2
 462  83.8003  -5.4689  27.4001   M3
 470  83.8012  -5.3967  30.5407   K1
 485  83.8029  -5.3265  30.2076   M0
 486  83.8025  -5.3452  29.5576   M4
 489  83.8030  -5.2704  29.6676   M3
 490  83.8031  -5.2814  30.2676   K8
 492  83.8032  -5.3430  29.4076   M4
 493  83.8033  -5.3441  29.3876   M3
 514  83.8042  -5.3178  30.2876   K6
 518  83.8044  -5.3708  29.4076   M4
 522  83.8046  -5.3537  29.1476   M5
 528  83.8051  -5.3479  29.7276   K8
 535  83.8053  -5.4650  29.4976   M3
 538  83.8057  -5.3739  28.0986   M4
 546  83.8062  -5.5133  29.6876   M3
 547  83.8064  -5.2881  29.0476   M3
 551  83.8064  -5.3721  29.0976   M1
 557  83.8064  -5.4580  29.6476   M3
 558  83.8066  -5.4659  28.7476   M5
 561  83.8068  -5.3319  31.2365   K5
 565  83.8067  -5.4071  29.9176   M0
 567  83.8067  -5.5160  30.4754   K5
 569  83.8075  -5.3237  28.4776   M1
 573  83.8073  -5.3728  28.6176   M2
 576  83.8074  -5.5819  29.7076   M4
 579  83.8075  -5.3686  30.3302   K2
 584  83.8077  -5.4603  27.7689   M3
 597  83.8086  -5.3311  30.2276   G5
 600  83.8087  -5.3768  30.0076   M3
 605  83.8086  -5.4306  28.2069   M6
 606  83.8087  -5.4433  28.2069   M3
 616  83.8095  -5.4069  29.5276   K7
 631  83.8100  -5.3927  29.8876   M1
 634  83.8103  -5.4173  29.9676   M2
 636  83.8102  -5.5463  28.5576   M3
 648  83.8111  -5.3760  31.3487   K7
 660  83.8115  -5.5713  30.0376   M3
 663  83.8120  -5.3754  29.6076   K5
 669  83.8125  -5.3666  31.1816   K3
 670  83.8122  -5.3775  31.7046   K4
 678  83.8129  -5.3754  29.6776   M6
 686  83.8137  -5.3414  27.2588   M4
 688  83.8134  -5.3733  29.6576   K6
 689  83.8136  -5.3825  34.8596   G6
 697  83.8140  -5.3710  30.4754   K3
 707  83.8146  -5.3802  30.2576   M2
 710  83.8143  -5.4332  29.1376   M6
 718  83.8148  -5.4206  31.0217   M0
 719  83.8146  -5.5865  29.6676   M3
 720  83.8153  -5.2965  30.5407   M3
 726  83.8151  -5.4008  29.3176   K8
 727  83.8153  -5.4196  27.6675   M1
 728  83.8153  -5.4259  28.7776   K8
 731  83.8157  -5.3610  28.2069   M3
 737  83.8155  -5.4412  30.0776   M3
 738  83.8154  -5.4710  28.5176   M4
 742  83.8160  -5.3794  29.4376   M3
 750  83.8162  -5.4814  29.7776   M2
 754  83.8166  -5.2827  28.8076   M3
 756  83.8165  -5.3725  29.2576   K7
 761  83.8170  -5.3434  30.4970   K2
 763  83.8167  -5.3630  29.1876   M5
 771  83.8168  -5.4309  28.6376   M4
 783  83.8175  -5.3590  29.0076   M4
 791  83.8178  -5.5168  28.8876   M4
 796  83.8180  -5.3403  28.5876   M5
 803  83.8182  -5.4194  29.9676   M0
 817  83.8192  -5.3266  29.5576   M0
 822  83.8198  -5.2879  27.7186   M6
 830  83.8200  -5.2815  28.3576   M4
 832  83.8204  -5.3729  29.8676   M0
 845  83.8208  -5.3836  28.9376   M0
 847  83.8208  -5.3936  28.8376   M2
 848  83.8206  -5.4298  30.2476   M2
 854  83.8209  -5.3758  32.6833   K0
 855  83.8211  -5.3928  34.2205   K0
 857  83.8211  -5.4828  29.3176   M0
 862  83.8213  -5.3806  28.8576   M1
 863  83.8214  -5.4163  28.6176   M4
 865  83.8218  -5.3410  28.8076   M3
 871  83.8224  -5.3374  30.0176   M0
 881  83.8224  -5.4291  34.7193   M1
 882  83.8224  -5.5129  27.2874   M4
 888  83.8229  -5.4048  28.9676   M5
 889  83.8227  -5.5070  29.6876   M3
 901  83.8232  -5.4286  29.8276   K8
 907  83.8237  -5.5339  29.7376   M4
 914  83.8238  -5.4150  29.1776   M5
 921  83.8245  -5.3842  29.6076   K8
 922  83.8243  -5.3877  29.4976   M0
 926  83.8245  -5.5115  27.8671   M0
 929  83.8250  -5.2791  28.9976   M3
 932  83.8248  -5.3793  36.3611   G5
 934  83.8249  -5.3932  28.9676   M0
 938  83.8249  -5.4474  28.3976   M4
 944  83.8252  -5.4009  30.0176   M4
 945  83.8250  -5.4929  30.1076   M2
 946  83.8250  -5.5088  29.2076   M5
 954  83.8262  -5.3854  28.3876   M5
 955  83.8260  -5.3876  28.5876   M2
 958  83.8260  -5.4264  25.9855   M1
 960  83.8261  -5.4983  30.0676   M3
 962  83.8266  -5.3379  28.7276   M4
 964  83.8265  -5.3623  26.9305   M1
 969  83.8263  -5.4795  29.4476   M2
 970  83.8263  -5.5283  29.9176   K0
 971  83.8270  -5.2772  32.1898   K7
 972  83.8270  -5.4020  29.3476   M3
 976  83.8272  -5.3452  30.0876   M3
 982  83.8275  -5.2765  30.8690   K7
 995  83.8284  -5.2914  28.7676   A8
 996  83.8287  -5.3419  28.6376   K1
1000  83.8287  -5.3914  29.1276   M2
1006  83.8290  -5.3478  29.7176   K7
1007  83.8290  -5.3521  28.8376   M3
1008  83.8290  -5.3719  29.9476   K7
1011  83.8295  -5.3971  29.3876   G8
1019  83.8297  -5.3908  29.8976   K7
1023  83.8301  -5.3807  30.0676   K5
1025  83.8301  -5.5176  29.2976   M6
1026  83.8305  -5.2792  28.3776   M3
1038  83.8316  -5.4599  27.4277   M0
1044  83.8317  -5.3993  29.9576   M0
1056  83.8326  -5.3727  29.1976   M5
1058  83.8327  -5.4133  29.4876   K7
1059  83.8328  -5.5090  28.6676   M5
1060  83.8325  -5.5104  29.0976   M5
1064  83.8330  -5.4007  26.9613   M2
1070  83.8337  -5.3455  30.1676   M1
1071  83.8336  -5.3516  31.6432   K7
1076  83.8335  -5.4271  29.8576   M0
1077  83.8335  -5.4867  28.2898   M3
1087  83.8341  -5.4442  33.7039   G5
1088  83.8341  -5.4783  28.6376   M5
1093  83.8346  -5.5381  28.6676   M6
