COUP  RAJ2000  DEJ2000   logLX  SpType
#       (deg)    (deg)  [10-7W] 
#--- -------- -------- ----------   -- 
   1  83.6227  -5.3937  29.7376   M5
  14  83.6734  -5.3994  28.6876   M5
  29  83.6942  -5.3905  29.7476   M2
  37  83.6998  -5.3945  27.6417   M5
  43  83.7035  -5.3883  30.2376   M1
  55  83.7106  -5.3932  29.1676   M1
 107  83.7333  -5.3870  33.2954   K2
 133  83.7467  -5.3855  28.7776   M4
 193  83.7644  -5.3925  28.2069   M3
 217  83.7688  -5.3990  29.7276   K2
 248  83.7742  -5.3877  25.1739   M6
 343  83.7907  -5.3908  31.7666   K8
 470  83.8012  -5.3967  30.5407   K1
 631  83.8100  -5.3927  29.8876   M1
 847  83.8208  -5.3936  28.8376   M2
 855  83.8211  -5.3928  34.2205   K0
 922  83.8243  -5.3877  29.4976   M0
 934  83.8249  -5.3932  28.9676   M0
 954  83.8262  -5.3854  28.3876   M5
 955  83.8260  -5.3876  28.5876   M2
1000  83.8287  -5.3914  29.1276   M2
1011  83.8295  -5.3971  29.3876   G8
1019  83.8297  -5.3908  29.8976   K7
1044  83.8317  -5.3993  29.9576   M0
1111  83.8362  -5.3981  30.2976   M4
1124  83.8372  -5.3894  29.2676   M0
1130  83.8377  -5.3970  33.6621   G8
1138  83.8383  -5.3925  27.2874   M4
1155  83.8396  -5.3880  29.0376   M3
1166  83.8408  -5.3863  28.9776   M1
1167  83.8407  -5.3943  29.1476   K5
1216  83.8440  -5.3955  29.2076   K7
1259  83.8486  -5.3922  32.0892   K6
1260  83.8486  -5.3962  28.0084   M1
1265  83.8488  -5.3889  28.0313   M3
1311  83.8546  -5.3963  29.9976   K2
1335  83.8572  -5.3859  30.2676   K6
1380  83.8638  -5.3935  31.0217   K4
1407  83.8672  -5.3851  29.3576   M3
1435  83.8744  -5.3987  28.4576   M2
